15;23427
25;23071
35;23039
40;22997
46;22444
61;22175
66;22022
76;21767
81;21485
91;20982
117;20979
130;19950
150;19912
180;19862
191;19005
251;18945
279;18402
316;18342
326;18285
346;18269
351;18244
357;17829
379;17602
413;17562
419;17279
424;17260
453;17047
459;16937
481;16877
502;16735
512;16674
517;16581
529;16512
534;16186
550;15981
570;15800
594;15622
601;15467
617;15466
628;15394
633;15341
652;15321
657;15198
667;14938
692;14755
706;14575
720;14559
735;14540
740;14414
744;14411
749;14268
772;14057
801;13993
816;13831
826;13697
870;13524
880;13338
933;13273
938;13132
963;12916
1027;12803
1083;12792
1108;12779
1112;12743
1117;12601
1122;12582
1152;12520
1168;12474
1173;12386
1198;12347
1209;12336
1220;12201
1231;12133
1240;12003
1311;11784
1345;11752
1373;11734
1397;11722
1403;11607
1429;11572
1477;11561
1496;11517
1506;11513
1511;11430
1525;11346
1540;11307
1560;11204
1622;11112
1627;11062
1652;11047
1671;10973
1707;10950
1712;10899
1734;10891
1750;10874
1760;10865
1764;10856
1769;10744
1784;10719
1793;10718
1798;10716
1804;10704
1809;10625
1824;10562
1838;10475
1854;10473
1865;10423
1891;10387
1907;10303
1933;10291
1950;10277
1961;10242
1976;10187
1985;10049
2034;9985
2048;9943
2058;9819
2101;9801
2106;9767
2116;9704
2151;9626
2178;9573
2199;9571
2209;9523
2215;9521
2235;9463
2249;9442
2259;9423
2264;9348
2288;9346
2293;9309
2302;9248
2307;9193
2312;9188
2326;9184
2341;9181
2346;9102
2355;9057
2388;8989
2393;8963
2399;8955
2416;8946
2421;8945
2427;8927
2437;8905
2442;8902
2452;8856
2458;8855
2463;8841
2482;8829
2492;8743
2502;8707
2526;8705
2536;8678
2550;8654
2555;8616
2570;8587
2598;8558
2603;8547
2608;8529
2618;8473
2637;8437
2651;8420
2660;8351
2674;8265
2708;8239
2718;8229
2732;8207
2737;8153
2756;8124
2766;8082
2770;8081
2775;8049
2785;8009
2790;7994
2799;7978
2804;7924
2832;7800
2873;7780
2878;7714
2901;7680
2935;7666
2949;7638
2954;7625
2959;7624
2979;7618
2984;7594
2989;7579
2994;7578
3004;7549
3019;7504
3052;7467
3081;7461
3092;7455
3097;7454
3102;7451
3107;7443
3123;7433
3128;7410
3147;7404
3166;7392
3170;7383
3175;7377
3180;7370
3190;7367
3194;7359
3208;7338
3213;7311
3218;7298
3227;7266
3257;7252
3271;7225
3281;7220
3290;7207
3321;7180
3336;7167
3340;7154
3350;7149
3359;7137
3364;7102
3388;7058
3398;7041
3448;7014
3485;6949
3519;6943
3533;6927
3538;6912
3552;6893
3571;6887
3576;6871
3600;6856
3621;6853
3665;6842
3680;6839
3685;6818
3695;6809
3712;6796
3728;6771
3763;6768
3768;6749
3796;6722
3825;6710
3845;6672
3849;6663
3864;6608
3911;6586
3926;6579
3935;6511
4038;6469
4100;6460
4106;6452
4117;6447
4129;6417
4142;6408
4184;6400
4215;6391
4230;6373
4235;6364
4251;6339
4271;6323
4276;6311
4280;6304
4295;6295
4306;6276
4315;6274
4335;6256
4372;6254
4388;6225
4429;6184
4491;6179
4495;6177
4500;6168
4509;6166
4515;6165
4522;6152
4557;6148
4572;6146
4589;6109
4626;6099
4660;6073
4701;6072
4713;6066
4737;6042
4745;6041
4766;6024
4776;6015
4814;6010
4829;6003
4834;6000
4849;5952
4859;5943
4874;5930
4888;5921
4897;5899
4968;5887
4973;5879
4997;5874
5007;5868
5027;5862
5032;5842
5047;5825
5075;5813
5102;5805
5127;5802
5131;5801
5168;5793
5196;5773
5232;5756
5259;5742
5276;5736
5292;5720
5316;5710
5320;5696
5336;5694
5358;5648
5404;5628
5443;5620
5447;5604
5452;5591
5475;5583
5495;5580
5499;5558
5514;5554
5525;5537
5547;5517
5567;5493
5611;5463
5621;5438
5626;5426
5647;5418
5656;5356
5682;5322
5698;5302
5751;5288
5755;5240
5783;5232
5807;5207
5878;5148
5901;5140
5942;5097
6004;5085
6014;5077
6108;5063
6112;5051
6159;5049
6164;5037
6173;5015
6202;5001
6211;4989
6244;4981
6249;4975
6263;4952
6291;4944
6329;4918
6339;4915
6344;4914
6367;4895
6396;4894
6428;4881
6433;4871
6447;4859
6456;4831
6470;4805
6517;4798
6522;4781
6574;4774
6642;4766
6656;4748
6716;4745
6761;4726
6784;4723
6794;4709
6825;4689
6892;4682
6983;4665
7050;4659
7054;4658
7107;4639
7144;4632
7154;4615
7206;4605
7331;4596
7345;4551
7368;4546
7421;4532
7515;4529
7521;4517
7535;4515
7546;4472
7575;4467
7581;4450
7591;4409
7623;4389
7676;4368
7713;4362
7728;4348
7747;4345
7752;4315
7771;4312
7819;4308
7839;4305
7848;4293
7864;4271
7869;4264
7900;4249
7935;4242
8000;4239
8048;4176
8053;4168
8087;4161
8116;4100
8139;4098
8144;4096
8149;4090
8167;4085
8186;4071
8210;4068
8229;4056
9275;4038
9718;4025
10404;4018
10542;4004
10766;3993
10873;3986
10935;3979
11317;3965
11411;3961
11588;3942
11641;3938
11976;3916
12083;3906
13768;3903
13869;3875
14182;3867
14596;3857
14694;3845
15362;3826
15675;3789
18276;3775
18343;3773
19041;3751
19579;3690
19715;3678
19888;3672
19940;3610
19964;3598
20283;3574
21246;3571
21660;3558
26408;3521
27934;3511
29261;3507
34881;3493
86505;3492
86982;3468
87159;3458
87439;3435
92082;3415
