3;5519
11;5343
19;5256
23;5059
35;4887
45;4868
46;4807
48;4753
55;4732
57;4647
58;4528
60;4523
63;4498
65;4440
66;4359
68;4195
78;4189
82;4181
84;3958
95;3895
99;3801
102;3791
104;3779
105;3634
109;3619
110;3590
113;3562
116;3514
121;3486
123;3445
126;3439
129;3434
145;3419
148;3373
161;3342
167;3314
177;3295
183;3276
244;3240
257;3216
284;3204
285;3194
289;3175
300;3163
412;3115
417;3096
449;3093
462;3018
507;3006
640;2966
712;2956
739;2931
776;2865
778;2858
797;2811
806;2786
841;2760
886;2751
902;2725
946;2698
970;2697
1025;2677
1039;2668
1044;2610
1052;2601
1139;2591
1273;2540
1297;2525
1448;2509
1501;2497
1506;2481
1581;2446
2100;2431
2102;2413
2789;2399
3563;2322
9469;2318
9676;2292
11034;2257
16255;2226
